Source,Target,Weight
111806,977442,320
966551,111806,320
966551,977442,320
980079,68033,310
549347,80953,306
324627,33938,234
860814,1693619,216
946534,1536687,194
833156,815734,143
218997,173556,132
1224622,173556,125
903059,634547,121
234821,47744,121
634547,63055,120
1136619,1603668,120
1602794,1108789,118
1606225,230452,118
546264,1528758,115
792565,155984,112
991514,1121238,109
1123285,193523,108
257526,1457127,107
1504673,164747,102
980079,839667,99
665836,68976,98
921838,946534,97
1224622,218997,97
336271,335578,93
354869,444441,93
215655,529794,92
125533,831083,91
23682,1034659,91
1362951,1069015,90
1470890,1694891,89
899486,247357,88
1416988,1086831,88
1633924,8834,88
1605658,987795,87
1270436,1438751,86
518168,680470,85
1052415,1074444,85
842157,36478,84
306006,911982,84
1523631,1297662,84
287467,36478,83
1420893,153023,82
574116,1603242,82
1156920,383969,81
875311,1191651,81
647938,1301809,80
30559,1509319,80
109882,1539522,80
1522729,91378,80
151793,1120216,80
1258476,750269,80
828303,165707,79
1592067,394305,79
864872,429557,78
359054,1373147,78
1336870,634547,78
810100,51980,77
1578868,35196,77
586652,531514,77
68033,839667,77
898275,879661,76
1522794,1412191,76
1224619,1083625,76
1139800,1694891,75
921838,1536687,74
1095282,878385,74
852077,1334606,73
460172,42117,73
1390833,1088600,73
1206552,56872,73
648253,1053472,73
1317060,865789,73
1541314,865789,73
394509,810069,72
390001,1434515,72
1224622,567248,72
1080177,1281733,72
111870,264587,72
73489,1465049,71
421037,660338,71
1418604,810135,71
576427,878016,70
966586,1699386,70
1110207,1503903,69
434841,825425,69
1370411,626439,69
36478,1678655,68
679579,657270,68
1354467,625036,68
879661,744663,68
849910,960120,67
1261234,25907,67
1641642,1445296,67
1075310,595731,67
1526598,1199289,67
1342668,1597851,67
922120,178894,67
30559,1606225,66
1330689,426313,65
1541314,1317060,65
553361,582329,65
1147885,12265,64
546264,1441424,64
1514334,1224622,64
261888,58352,64
511760,337625,64
70300,1504673,64
1665336,719307,63
261888,69306,63
25907,148706,63
1365170,528943,63
1630751,429666,63
305946,454119,63
1028564,1621368,63
881060,567357,63
679579,1022181,62
717855,1428912,62
1396214,1426675,62
1711452,4472,62
155705,898284,62
1395469,258909,61
1616541,1606225,61
481441,481437,61
165707,230916,61
1327771,1556801,61
227661,1224622,60
128270,400502,60
1406956,1538012,60
1414410,258909,59
173556,775017,59
867304,488134,59
561572,1364808,59
1676648,1145038,59
1027522,552089,59
1394453,429557,59
359054,192156,58
828303,230916,58
1090170,456489,58
1678057,1565078,58
1073502,1077212,58
273050,1077212,58
1252205,1078182,58
50416,1168758,58
1618175,75289,58
703996,534059,58
1150127,1633295,58
196606,745138,58
437763,1642367,57
164747,1265468,57
1617173,879661,57
69306,58352,57
1261713,868986,57
994573,1056891,57
881959,352690,57
1711452,759170,57
75995,550609,57
752516,1503903,57
318401,1711452,57
1484154,591585,56
113894,1074338,56
30559,230452,56
63055,903059,56
1209340,1083494,56
745879,1633295,56
1637117,508711,56
692598,1611608,56
1150127,535952,56
498602,955757,56
288362,60271,56
1669486,705191,56
374606,736778,56
1491252,370784,56
573434,459319,55
881959,1026426,55
384497,381999,55
1152703,1178536,55
575691,1524871,55
161157,1604728,55
1393791,1538249,55
560546,384497,55
1693449,1182888,55
543041,952746,55
615096,460079,55
389258,377871,55
1591881,536020,55
560546,381999,55
1073502,273050,55
849574,964367,55
397500,559642,54
1537357,1267952,54
795174,17805,54
1369029,49806,54
1235198,1522988,54
44206,288664,54
1676648,1319452,54
816259,1346193,54
180320,175975,54
1609490,563677,54
188450,1472997,54
1026426,352690,54
291068,680926,54
1191719,946470,54
374606,834149,54
1390473,1031493,54
1044858,546387,54
680470,578328,54
942997,1422134,54
810750,805745,53
89753,230974,53
1139781,1089001,53
59117,1191812,53
1490764,1155007,53
619997,911982,53
382575,911982,53
263234,36889,53
1680584,1078165,52
1304630,539454,52
