id,label
851973,"Nicola Nicolici"
1376262,"Y. Charlie Hu"
425989,"Hideo Taniguchi"
1277961,"Oliver Riordan"
163853,"Jayant Madhavan"
229391,"Gilles Simon"
1572880,"A. Hotho"
1114133,"L. Ferreira Pires"
851990,"J. H. Cross, II"
1605658,"Richard C. Wilson"
196634,"Yi Wang"
1572897,"Pong-chi Yuen"
1081378,"A. Corradi"
196642,"Juryon Paik"
753700,"Refael Hassin"
458793,"A. V. Vaidenbaum"
46,"CHENG BO"
98355,"Damianos Gavalas"
1114163,"Deshpande M. D."
1572921,"Tomoyuki Nishita"
458809,"L. R. Carley"
294972,"D. D. Cowan"
426051,"Tetsuki Taniguchi"
917573,"Morteza Amini"
98379,"Julian Fierrez"
1704013,"Carme Quer"
1638480,"Jonghyun Park"
1540190,"Sumit Gupta"
589920,"Ole Lehrmann Madsen"
262244,"Robert Stevens"
295017,"Paulo Fernandes"
106,"Hiroaki Nishino"
622699,"Christoph Quix"
852077,"Jeff Kramer"
1278062,"Ziyang Liu"
1081456,"Brad A. Myers"
1245297,"Alexandros Kalousis"
32885,"Giacomo Cabri"
1114233,"Joseph P. Loyall"
1540218,"Frances M. T. Brazier"
1441913,"Hideyuki Takahashi"
1245308,"Georges Gielen"
1572985,"K. Stamos"
1081470,"Bradley Schmerl"
32894,"Robert Ross"
1572990,"Ebroul Izquierdo"
1409160,"Daniele Tarchi"
1671305,"Crina Grosan"
163977,"Cheng-Wen Wu"
327825,"Thomas Sauerwald"
1441961,"Andrea Maggiolo-Schettini"
589996,"John Thangarajah"
262318,"Yasuyuki Sumi"
393391,"Stephen J. Ethier"
983214,"O. Rüthing"
1278131,"Dayou Liu"
1114294,"Wojciech Plandowski"
1474743,"E. M. Clarke"
491704,"C. C. Weems"
524497,"Umberto Villano"
524500,"Oliverio J. Santana"
295128,"R. Govindarajan"
983256,"B. A. Draper"
218,"Massimo Tornatore"
786653,"Oscar Fontenla-Romero"
786654,"Theodora A. Varvarigou"
950496,"N. García-Pedrajas"
458979,"Dawid Kurzyniec"
852195,"Edward C. Baig"
1704171,"M. R. Garey"
786668,"D. Ghosal"
1704172,"Stefano Quer"
590062,"Kazumi Saito"
131310,"Chunju Tseng"
753903,"Frances A. Rosamond"
360685,"Takaya Arita"
1310963,"Victor C. M. Leung"
229622,"Yusu Wang"
622839,"Ruth Aylett"
