Source,Target
2015219,614
2015219,748
2015219,4619
2015219,9240
2015219,13016
2015219,17886
2015219,29590
2015219,29591
2015219,31791
2015219,32897
2015219,41684
2015219,41842
2015219,46425
2015219,46607
2015219,51999
2015219,55337
2015219,65453
2015219,65487
2015219,65859
2015219,68143
2015219,69312
2015219,69503
2015219,69724
2015219,70068
2015219,77005
2015219,82232
2015219,85201
2015219,86476
2015219,86931
2015219,90764
2015219,91631
2015219,94557
2015219,100575
2015219,107715
2015219,107722
2015219,107927
2015219,108560
2015219,109556
2015219,114582
2015219,115557
2015219,115661
2015219,119415
2015219,128206
2015219,128322
2015219,131255
2015219,131259
2015219,131555
2015219,144715
2015219,151526
2015219,151534
2015219,151536
2015219,151538
2015219,162105
2015219,164766
2015219,172939
2015219,178705
2015219,186829
2015219,189578
2015219,190645
2015219,193149
2015219,196091
2015219,201869
2015219,202068
2015219,202146
2015219,202151
2015219,202657
2015219,204399
2015219,209877
2015219,210194
2015219,210210
2015219,211190
2015219,212406
2015219,214087
2015219,214974
2015219,221468
2015219,223331
2015219,227944
2015219,232761
2015219,232800
2015219,237230
2015219,239252
2015219,239967
2015219,239972
2015219,243128
2015219,246590
2015219,250076
2015219,250173
2015219,250530
2015219,251359
2015219,251672
2015219,256887
2015219,257642
2015219,258114
2015219,261738
2015219,267194
2015219,271211
2015219,279645
2015219,286471
2015219,286476
2015219,286836
2015219,286929
2015219,287220
2015219,289083
2015219,290464
2015219,295928
2015219,302434
2015219,312215
2015219,312228
2015219,313664
2015219,316575
2015219,317170
2015219,317987
2015219,317988
2015219,318111
2015219,318291
2015219,318975
2015219,319768
2015219,320187
2015219,320902
2015219,322541
2015219,325131
2015219,331951
2015219,336201
2015219,337333
2015219,340608
2015219,341704
2015219,342365
2015219,342369
2015219,342373
2015219,342377
2015219,342867
2015219,343843
2015219,343922
2015219,344559
2015219,348152
2015219,348855
2015219,351370
2015219,373230
2015219,385051
2015219,398237
2015219,398528
2015219,401844
2015219,403195
2015219,411252
2015219,434263
2015219,435104
2015219,435134
2015219,438428
2015219,440238
2015219,442698
2015219,442700
2015219,444085
2015219,446416
2015219,453512
2015219,459945
2015219,471013
2015219,480589
2015219,480829
2015219,489157
2015219,497549
2015219,512929
2015219,513684
2015219,514208
2015219,523893
2015219,524029
2015219,528366
2015219,535797
2015219,535933
2015219,546245
2015219,547958
2015219,566182
2015219,566391
2015219,578391
2015219,581193
2015219,581194
2015219,593127
2015219,593909
2015219,602623
2015219,602629
2015219,602633
2015219,602675
2015219,604183
2015219,609917
2015219,609921
2015219,609944
2015219,609949
2015219,610279
2015219,616963
2015219,631851
2015219,633938
2015219,653567
2015219,654507
2015219,656281
2015219,671407
2015219,689722
2015219,723279
2015219,723282
2015219,723288
2015219,723291
2015219,723293
2015219,723295
2015219,723298
2015219,743280
2015219,745074
2015219,756219
2015219,761212
2015219,761411
2015219,763532
2015219,763566
2015219,765469
2015219,765470
2015219,771088
2015219,785130
2015219,787256
2015219,787748
2015219,789631
2015219,790318
2015219,795391
2015219,797265
2015219,799003
2015219,799013
2015219,799460
2015219,800501
2015219,800583
2015219,801694
2015219,805457
2015219,805462
2015219,805470
2015219,805478
2015219,809078
2015219,809099
2015219,809114
2015219,809116
2015219,809120
2015219,810278
2015219,816437
2015219,821939
2015219,823215
2015219,824701
2015219,825098
2015219,828184
2015219,830694
2015219,835181
2015219,835186
2015219,835195
2015219,835196
2015219,835868
2015219,843790
2015219,850141
2015219,867924
2015219,867961
2015219,873243
2015219,874978
2015219,896755
2015219,896758
2015219,904988
2015219,911434
2015219,911570
2015219,920025
2015219,927452
2015219,937549
2015219,938071
2015219,938092
2015219,960130
2015219,960153
2015219,960203
2015219,961008
2015219,963187
2015219,963189
2015219,963195
2015219,963197
2015219,963206
2015219,963209
2015219,963227
2015219,963458
2015219,963529
2015219,963598
2015219,963603
2015219,963612
2015219,963618
2015219,963636
2015219,963644
2015219,963647
2015219,963655
2015219,963656
2015219,963661
2015219,963662
2015219,963664
2015219,963665
2015219,963666
2015219,963667
2015219,963668
2015219,963669
2015219,963676
2015219,963677
2015219,963678
2015219,963683
2015219,963721
2015219,963800
2015219,963866
2015219,964422
2015219,966953
2015219,978174
2015219,978350
2015219,978390
2015219,978404
2015219,978413
2015219,978468
2015219,978502
2015219,978724
2015219,978766
2015219,978808
2015219,978810
2015219,978885
2015219,978980
2015219,978999
2015219,979345
2015219,983006
2015219,983463
2015219,983467
2015219,989488
2015219,989490
2015219,989526
2015219,990350
2015219,990378
2015219,993949
2015219,994177
2015219,998838
2015219,998845
2015219,998847
2015219,998852
2015219,1002130
2015219,1002131
2015219,1002137
2015219,1002143
2015219,1002146
2015219,1002151
2015219,1006357
2015219,1013979
2015219,1014583
2015219,1015996
2015219,1017256
2015219,1018041
2015219,1020740
2015219,1022221
2015219,1022298
2015219,1023420
2015219,1026962
2015219,1038149
2015219,1038162
2015219,1039040
2015219,1039041
2015219,1039051
2015219,1039055
2015219,1046321
2015219,1046643
2015219,1050818
2015219,1050868
2015219,1053117
2015219,1054227
2015219,1054592
2015219,1061593
2015219,1062567
2015219,1063508
2015219,1076985
2015219,1082102
2015219,1082195
2015219,1082684
2015219,1084463
2015219,1085289
2015219,1085302
2015219,1085309
2015219,1085311
2015219,1102242
2015219,1105877
2015219,1111848
2015219,1111879
2015219,1123799
2015219,1126757
2015219,1127373
2015219,1127550
2015219,1127560
2015219,1136940
2015219,1148898
2015219,1151107
2015219,1154586
2015219,1154779
2015219,1164384
2015219,1172250
2015219,1174212
2015219,1174217
2015219,1174218
2015219,1179142
2015219,1181215
2015219,1183353
2015219,1183364
2015219,1183392
2015219,1188381
2015219,1189343
2015219,1189346
2015219,1194216
2015219,1195140
2015219,1196583
2015219,1202628
2015219,1202629
2015219,1213666
2015219,1213668
2015219,1213694
2015219,1214418
2015219,1215445
2015219,1216349
2015219,1216352
2015219,1216358
2015219,1217160
2015219,1238432
2015219,1246354
2015219,1246375
2015219,1250317
2015219,1254361
2015219,1265425
2015219,1267192
2015219,1267253
2015219,1267256
2015219,1268685
2015219,1270566
2015219,1278059
2015219,1278375
2015219,1278377
2015219,1278380
2015219,1278382
2015219,1278385
2015219,1278387
2015219,1278390
2015219,1278391
2015219,1278392
2015219,1278394
2015219,1285125
2015219,1285681
2015219,1285794
2015219,1287564
2015219,1290542
2015219,1305921
2015219,1311635
2015219,1311638
2015219,1311672
2015219,1322180
2015219,1328078
2015219,1328129
2015219,1328130
2015219,1328150
2015219,1328213
2015219,1333252
2015219,1354118
2015219,1354633
2015219,1368900
2015219,1370354
2015219,1370364
2015219,1383981
2015219,1385868
2015219,1386045
2015219,1386049
2015219,1386873
2015219,1399992
2015219,1400975
2015219,1412497
2015219,1414099
2015219,1415274
2015219,1424010
2015219,1426201
2015219,1426210
2015219,1426479
2015219,1426480
2015219,1426489
2015219,1426496
2015219,1426498
2015219,1426499
2015219,1426513
2015219,1426552
2015219,1426571
2015219,1426597
2015219,1429329
2015219,1429730
2015219,1434003
2015219,1463609
2015219,1464621
2015219,1464623
2015219,1464638
2015219,1464698
2015219,1464950
2015219,1467081
2015219,1468204
2015219,1468205
2015219,1468209
